pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Game_Date
KC,2022-07-17,77.9,-1.97,5.15,"Fortes, Nick",663743,605400,NA,ball,NA,NA,NA,NA,11,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,B,NA,NA,1,1,2022,1.25,-0.6,-0.7,3.72,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,0.440325304554305,-113.239754640676,5.08368479014825,10.5486089203217,23.3507321500095,-38.5435843470778,3.26,1.55,NA,NA,NA,78.2,2579,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.68,NA,NA,NA,NA,NA,NA,NA,63,3,Knuckle Curve,0,4,0,4,4,0,0,4,Standard,Standard,53,0,0.047,2022-07-17
KC,2022-07-17,77.9,-1.87,5.16,"Fortes, Nick",663743,605400,NA,ball,NA,NA,NA,NA,14,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,B,NA,NA,0,1,2022,1.22,-1.08,2.1,0.64,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,6.34880564231991,-113.181071653494,-0.672351467832128,8.96045068670834,24.7118430348673,-41.4156953639574,3.23,1.52,NA,NA,NA,78.1,2713,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.55,NA,NA,NA,NA,NA,NA,NA,63,2,Knuckle Curve,0,4,0,4,4,0,0,4,Standard,Standard,52,0,0.025,2022-07-17
FF,2022-07-17,91.6,-1.81,5.11,"Fortes, Nick",663743,605400,NA,foul_tip,NA,NA,NA,NA,11,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,S,NA,NA,0,0,2022,-0.93,1.34,-0.01,3.69,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,6.62041762767246,-133.166477427791,-0.567885473126377,-12.5096299096915,30.7631431480616,-16.4077877532446,3.29,1.53,NA,NA,NA,92.4,2166,7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.52,NA,NA,NA,NA,NA,NA,NA,63,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,224,0,-0.033,2022-07-17
FF,2022-07-17,91.2,-2.04,4.94,"Rojas, Miguel",500743,605400,grounded_into_double_play,hit_into_play,NA,NA,NA,NA,13,"Miguel Rojas grounds into a double play, shortstop Didi Gregorius to first baseman Johan Camargo.   Jesus Sanchez out at 2nd.    Miguel Rojas out at 1st.",R,R,R,MIA,PHI,X,6,ground_ball,0,0,2022,-1.4,1.28,-1.1,2.13,NA,NA,660821,1,8,Bot,118.7,149.44,NA,NA,592663,NA,NA,5.42882487134406,-132.561704569946,-3.89035900826294,-17.6069677978355,31.3140106402043,-16.5360099818017,3.41,1.63,132,61.2,15,91.5,2485,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.71,0.32,0.288,0,1,0,0,2,59,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,228,-0.027,-0.374,2022-07-17
FF,2022-07-17,93.4,-2,5.03,"Sánchez, Jesús",660821,605400,walk,ball,NA,NA,NA,NA,13,Jesus Sanchez walks.,R,L,R,MIA,PHI,B,NA,NA,3,1,2022,-1.38,1.24,-0.9,2.2,NA,NA,NA,1,8,Bot,NA,NA,NA,NA,592663,NA,NA,5.96494502967896,-135.819584670534,-4.25791685856909,-18.4356599070489,32.8009255954743,-16.1314328663786,3.37,1.59,NA,NA,NA,94.2,2463,7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.48,NA,NA,0.7,1,0,0,NA,58,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shift,Standard,224,0.015,0.162,2022-07-17
CH,2022-07-17,87.7,-2.09,4.93,"Sánchez, Jesús",660821,605400,NA,ball,NA,NA,NA,NA,13,Jesus Sanchez walks.,R,L,R,MIA,PHI,B,NA,NA,2,1,2022,-1.27,0.6,-0.35,0.93,NA,NA,NA,1,8,Bot,NA,NA,NA,NA,592663,NA,NA,6.86645769072121,-127.443490579741,-4.76991040095393,-15.324960706412,28.1809720215258,-24.7688892363663,3.42,1.7,NA,NA,NA,87.9,1585,6.6,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.87,NA,NA,NA,NA,NA,NA,NA,58,4,Changeup,0,4,0,4,4,0,0,4,Infield shift,Standard,244,0,0.079,2022-07-17
FF,2022-07-17,93.9,-1.98,5.02,"Sánchez, Jesús",660821,605400,NA,ball,NA,NA,NA,NA,13,Jesus Sanchez walks.,R,L,R,MIA,PHI,B,NA,NA,1,1,2022,-1.4,1.29,-1.6,1.96,NA,NA,NA,1,8,Bot,NA,NA,NA,NA,592663,NA,NA,4.22824266748477,-136.506452298816,-5.13543888953308,-18.440069307889,32.5415543381766,-15.1240344066304,3.42,1.67,NA,NA,NA,96.2,2475,7.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,52.63,NA,NA,NA,NA,NA,NA,NA,58,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shift,Standard,227,0,0.032,2022-07-17
FF,2022-07-17,93.6,-1.83,5.05,"Sánchez, Jesús",660821,605400,NA,swinging_strike,NA,NA,NA,NA,12,Jesus Sanchez walks.,R,L,R,MIA,PHI,S,NA,NA,1,0,2022,-1.12,1.52,0.94,3.28,NA,NA,NA,1,8,Bot,NA,NA,NA,NA,592663,NA,NA,9.71968795951213,-135.880934009834,-2.14980134679956,-16.1272769911625,31.9663009457954,-13.1535494129303,3.42,1.63,NA,NA,NA,94.1,2425,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.6,NA,NA,NA,NA,NA,NA,NA,58,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Infield shift,Standard,227,0,-0.032,2022-07-17
KC,2022-07-17,77.9,-2.07,5.09,"Sánchez, Jesús",660821,605400,NA,ball,NA,NA,NA,NA,13,Jesus Sanchez walks.,R,L,R,MIA,PHI,B,NA,NA,0,0,2022,1.37,-1,-0.98,1.52,NA,NA,NA,1,8,Bot,NA,NA,NA,NA,592663,NA,NA,-0.196543696611518,-113.338480766096,1.21173637509059,11.7031113244783,23.8191707891158,-41.2287447510001,3.42,1.7,NA,NA,NA,78.1,2641,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.7,NA,NA,NA,NA,NA,NA,NA,58,1,Knuckle Curve,0,4,0,4,4,0,0,4,Infield shift,Standard,56,0,0.024,2022-07-17
KC,2022-07-17,79.6,-1.82,5.15,"García, Avisaíl",541645,605400,strikeout,swinging_strike,NA,NA,NA,NA,14,Avisail Garcia strikes out swinging.,R,R,R,MIA,PHI,S,2,NA,1,2,2022,1.08,-0.98,0.63,1.43,NA,NA,NA,0,8,Bot,NA,NA,NA,NA,592663,NA,NA,3.37285895015573,-115.875720017915,0.522151593174073,8.90661952208182,24.7647285263642,-41.2411227760519,3.46,1.74,NA,NA,NA,79.9,2606,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.7,NA,NA,0,1,0,0,NA,57,4,Knuckle Curve,0,4,0,4,4,0,0,4,Standard,Standard,52,-0.014,-0.158,2022-07-17
